"","state","account.length","area.code","international.plan","voice.mail.plan","number.vmail.messages","total.day.minutes","total.day.calls","total.day.charge","total.eve.minutes","total.eve.calls","total.eve.charge","total.night.minutes","total.night.calls","total.night.charge","total.intl.minutes","total.intl.calls","total.intl.charge","number.customer.service.calls","Churn"
"1","17",0.622549019607843,0.0686274509803922,"1","2",0.5,0.798455056179775,0.6,0.798430400660884,0.486666666666667,0.481132075471698,0.486710239651416,0.66542750929368,0.413461538461538,0.665289256198347,0.474820143884892,0.222222222222222,0.474666666666667,0.333333333333333,"1"
"2","36",0.519607843137255,0.0686274509803922,"1","2",0.52,0.435042134831461,0.723809523809524,0.434944237918216,0.47962962962963,0.518867924528302,0.479738562091503,0.701486988847584,0.528846153846154,0.701652892561983,0.741007194244604,0.222222222222222,0.741333333333333,0.333333333333333,"1"
"3","32",0.666666666666667,0.0686274509803922,"1","1",0,0.722261235955056,0.638095238095238,0.722222222222222,0.204444444444444,0.584905660377358,0.204357298474946,0.360223048327138,0.538461538461538,0.360330578512397,0.633093525179856,0.444444444444444,0.632,0,"1"
"5","37",0.362745098039216,0.0686274509803922,"2","1",0,0.452949438202247,0.628571428571429,0.452912019826518,0.304814814814815,0.69811320754717,0.305010893246187,0.450557620817844,0.701923076923077,0.450413223140496,0.482014388489209,0.222222222222222,0.482666666666667,1,"1"
"6","2",0.573529411764706,1,"2","1",0,0.652036516853932,0.485714285714286,0.652003304419661,0.572592592592593,0.5,0.572549019607843,0.513754646840149,0.673076923076923,0.514049586776859,0.20863309352518,0.555555555555556,0.208,0,"1"
"8","25",0.715686274509804,0.0686274509803922,"2","1",0,0.418890449438202,0.304761904761905,0.418835192069393,0.137407407407407,0.433962264150943,0.137254901960784,0.543122676579926,0.461538461538462,0.54297520661157,0.266187050359712,0.555555555555556,0.266666666666667,0,"1"
"10","50",0.686274509803922,0.0686274509803922,"2","2",0.74,0.77563202247191,0.352380952380952,0.775505989260636,0.577777777777778,0.594339622641509,0.577777777777778,0.969144981412639,0.471153846153846,0.969421487603306,0.561151079136691,0.444444444444444,0.56,0,"1"
"12","40",0.357843137254902,0.0686274509803922,"1","1",0,0.526685393258427,0.761904761904762,0.526641883519207,0.360740740740741,0.943396226415094,0.36078431372549,0.484386617100372,0.442307692307692,0.484297520661157,0.410071942446043,0.444444444444444,0.410666666666667,0,"1"
"13","13",0.818627450980392,0,"1","1",0,0.319873595505618,0.466666666666667,0.319909128459314,0.144074074074074,0.216981132075472,0.144226579520697,0.280297397769517,0.769230769230769,0.280165289256198,0.561151079136691,0.111111111111111,0.56,0.333333333333333,"1"
"14","27",0.46078431372549,1,"1","1",0,0.41748595505618,0.39047619047619,0.417389508467575,0.672592592592593,0.254716981132075,0.672766884531591,0.470631970260223,0.644230769230769,0.470247933884297,0.640287769784173,0.444444444444444,0.64,1,"1"
"17","14",0.411764705882353,0,"1","2",0.54,0.557233146067416,0.876190476190476,0.557207765386204,0.795925925925926,0.39622641509434,0.796078431372549,0.0877323420074349,0.259615384615385,0.0876033057851239,0.748201438848921,0.333333333333333,0.749333333333333,0.333333333333333,"1"
"18","47",0.450980392156863,1,"1","1",0,0.537219101123595,0.638095238095238,0.537174721189591,0.563703703703704,0.594339622641509,0.563834422657952,0.237546468401487,0.701923076923077,0.237190082644628,0.338129496402878,0.222222222222222,0.338666666666667,1,"1"
"19","46",0.367647058823529,1,"1","2",0.66,0.533707865168539,0.180952380952381,0.533663775299463,0.543703703703704,0.160377358490566,0.543790849673203,0.371747211895911,0.576923076923077,0.371900826446281,0.474820143884892,0.444444444444444,0.474666666666667,0.333333333333333,"1"
"20","44",0.352941176470588,0.0686274509803922,"1","1",0,0.655547752808989,0.40952380952381,0.655514250309789,0.346296296296296,0.377358490566038,0.34640522875817,0.472490706319703,0.25,0.472727272727273,0.690647482014388,0.111111111111111,0.690666666666667,0.333333333333333,"1"
"21","10",0.715686274509804,0.0686274509803922,"1","1",0,0.412219101123595,0.666666666666667,0.412226352746799,0.643333333333333,0.424528301886792,0.643137254901961,0.531970260223048,0.817307692307692,0.532231404958678,0.517985611510791,0.333333333333333,0.517333333333333,0,"1"
"24","41",0.53921568627451,0.0686274509803922,"1","1",0,0.255266853932584,0.533333333333333,0.255266418835192,0.264074074074074,0.509433962264151,0.264052287581699,0.460594795539033,0.548076923076923,0.460330578512397,0.309352517985612,0.555555555555556,0.309333333333333,0.666666666666667,"1"
"25","46",0.642156862745098,1,"1","1",0,0.152387640449438,0.371428571428571,0.152416356877323,0.663703703703704,0.226415094339623,0.663616557734205,0.636802973977695,0.644230769230769,0.637190082644628,0.496402877697842,0.111111111111111,0.496,0,"1"
"26","30",0.848039215686274,0.0686274509803922,"1","1",0,0.304073033707865,0.276190476190476,0.304006608839323,0.781851851851852,0.60377358490566,0.781699346405229,0.687732342007435,0.644230769230769,0.687603305785124,0.870503597122302,0.444444444444444,0.872,1,"1"
"27","51",0.274509803921569,0,"1","2",0.78,0.615519662921348,0.647619047619048,0.615448161916563,0.463333333333333,0.60377358490566,0.46318082788671,0.434944237918216,0.644230769230769,0.434710743801653,0.438848920863309,0.222222222222222,0.44,0,"1"
"28","27",0.259803921568627,0,"1","1",0,0.339185393258427,0.247619047619048,0.339116067740603,0.331481481481481,0.490566037735849,0.331590413943355,0.135315985130112,0.192307692307692,0.134710743801653,0.81294964028777,0.333333333333333,0.813333333333333,1,"1"
"29","25",0.0931372549019608,0.0686274509803922,"1","1",0,0.534761235955056,0.59047619047619,0.534696406443618,0.711851851851852,0.339622641509434,0.7119825708061,0.430483271375465,0.519230769230769,0.430578512396694,0.20863309352518,0.555555555555556,0.208,0,"1"
"30","12",0.235294117647059,1,"1","1",0,0.286516853932584,0.666666666666667,0.286451879388682,0.552222222222222,0.575471698113208,0.552069716775599,0.420074349442379,0.403846153846154,0.419834710743802,0.553956834532374,0,0.554666666666667,0.333333333333333,"1"
"31","15",0.691176470588235,0.0686274509803922,"1","1",0,0.165379213483146,0.457142857142857,0.16542750929368,0.261851851851852,0.141509433962264,0.261873638344227,0.686988847583643,0.961538461538462,0.686776859504132,0.776978417266187,0.555555555555556,0.776,0.666666666666667,"1"
"32","31",0.362745098039216,1,"1","1",0,0.661516853932584,0.552380952380952,0.66150351094589,0.501851851851852,0.556603773584906,0.501960784313725,0.671003717472119,0.480769230769231,0.671074380165289,0.496402877697842,0.444444444444444,0.496,0.333333333333333,"1"
"34","4",0.053921568627451,0,"1","1",0,0.744030898876404,0.676190476190476,0.743907476249484,0.69037037037037,0.669811320754717,0.690196078431373,0.797397769516729,0.403846153846154,0.797520661157025,0.60431654676259,0.222222222222222,0.605333333333333,0.333333333333333,"2"
"35","37",0.274509803921569,0,"1","2",0.5,0.488412921348315,0.447619047619048,0.48843453118546,0.477777777777778,0.254716981132075,0.477995642701525,0.549442379182156,0.653846153846154,0.549586776859504,0.352517985611511,0.333333333333333,0.352,0,"1"
